City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bambous Virieux,MU,2022-01-08 22:12:04,-20.3428,57.7575,24.56,81,35,2.43
68,Nikolskoye,RU,2022-01-08 22:12:04,59.7035,30.7861,-5.07,94,100,3.36
69,Mahebourg,MU,2022-01-08 22:12:04,-20.4081,57.7,24.58,81,31,2.33
70,Cayenne,GF,2022-01-08 22:12:05,4.9333,-52.3333,26.16,77,0,0.89
71,Provideniya,RU,2022-01-08 22:12:05,64.3833,-173.3,-16.66,68,12,4.36
72,Saint-Philippe,RE,2022-01-08 22:12:06,-21.3585,55.7679,23.77,85,34,2.91
73,Vaini,TO,2022-01-08 22:12:06,-21.2,-175.2,27.09,89,100,2.06
74,Hithadhoo,MV,2022-01-08 22:12:06,-0.6,73.0833,27.23,75,72,2.21
75,Ribeira Grande,PT,2022-01-08 22:12:07,38.5167,-28.7,16.22,63,75,2.57
76,Porto Santo,PT,2022-01-08 22:12:07,33.072,-16.3415,17.95,67,40,7.72
77,Taoudenni,ML,2022-01-08 22:12:08,22.6783,-3.9836,14.47,24,0,6.2
78,Severo-Kurilsk,RU,2022-01-08 22:12:08,50.6789,156.125,-0.71,89,93,8.73
79,Trairi,BR,2022-01-08 22:12:08,-3.2778,-39.2689,26.27,74,30,3.91
80,Zhangye,CN,2022-01-08 22:12:09,38.9342,100.4517,-4.45,43,100,2.58
81,Pionerskiy,RU,2022-01-08 22:12:09,54.9508,20.2275,0.91,81,74,8.55
82,Lumby,CA,2022-01-08 22:12:10,50.2498,-118.969,-2.55,85,96,1.15
83,Sosva,RU,2022-01-08 22:12:10,59.1766,61.8558,-15.44,88,47,4.0
84,Guilin,CN,2022-01-08 22:12:10,25.2819,110.2864,7.27,86,96,2.19
85,Daru,PG,2022-01-08 22:12:11,-9.0763,143.2092,25.55,87,93,3.28
86,Muzhi,RU,2022-01-08 22:12:11,65.3667,64.6667,-18.91,82,99,5.09
87,Le Port,RE,2022-01-08 22:12:12,-20.9373,55.2919,24.0,84,19,1.69
88,Saurimo,AO,2022-01-08 22:12:12,-9.6608,20.3916,18.63,95,94,1.17
89,Yar-Sale,RU,2022-01-08 22:12:12,66.8333,70.8333,-17.7,97,100,2.46
90,Le Vauclin,MQ,2022-01-08 22:13:13,14.5452,-60.8388,25.07,73,75,5.66
91,Rovaniemi,FI,2022-01-08 22:13:13,66.5,25.7167,-14.33,85,100,4.63
92,Tashtagol,RU,2022-01-08 22:13:13,52.7657,87.8894,-10.56,100,99,1.55
93,Mumbwa,ZM,2022-01-08 22:13:14,-14.9783,27.0619,18.66,98,100,1.67
94,Sistranda,NO,2022-01-08 22:13:14,63.7256,8.834,-1.17,69,88,4.81
95,Codrington,AU,2022-01-08 22:13:15,-38.2667,141.9667,15.88,67,87,3.33
96,Pisco,PE,2022-01-08 22:13:16,-13.7,-76.2167,24.03,78,0,8.75
97,Tuktoyaktuk,CA,2022-01-08 22:13:16,69.4541,-133.0374,-30.3,97,100,7.17
98,Atasu,KZ,2022-01-08 22:13:17,48.6814,71.6433,-6.17,94,100,5.83
99,Oda,JP,2022-01-08 22:13:17,35.1833,132.5,5.43,65,96,3.94
100,Bengkulu,ID,2022-01-08 22:13:17,-3.8004,102.2655,23.82,86,100,1.66
101,Alofi,NU,2022-01-08 22:13:18,-19.0595,-169.9187,27.26,71,91,5.12
102,Skjervoy,NO,2022-01-08 22:13:18,70.0311,20.9714,-1.49,69,100,3.99
103,Arraial Do Cabo,BR,2022-01-08 22:13:19,-22.9661,-42.0278,21.92,94,100,2.57
104,Sabang,ID,2022-01-08 22:13:19,5.8933,95.3214,27.44,75,100,7.93
105,Punta Arenas,CL,2022-01-08 22:13:19,-53.15,-70.9167,13.06,47,0,10.8
106,Kaitangata,NZ,2022-01-08 22:13:19,-46.2817,169.8464,19.4,69,100,2.67
107,Souillac,MU,2022-01-08 22:13:20,-20.5167,57.5167,24.64,81,18,1.37
108,Rio Grande,BR,2022-01-08 22:13:21,-32.035,-52.0986,22.15,65,100,8.93
109,Jawhar,SO,2022-01-08 22:13:21,2.7809,45.5005,23.79,77,81,7.78
110,Klyuchi,RU,2022-01-08 22:13:21,52.2667,79.1667,-4.54,85,100,5.93
111,Pangnirtung,CA,2022-01-08 22:13:22,66.1451,-65.7125,-26.74,98,100,0.72
112,Ugoofaaru,MV,2022-01-08 22:13:22,5.6667,73.0,26.89,76,5,4.2
113,Kasongo-Lunda,CD,2022-01-08 22:13:23,-6.4667,16.8167,21.64,95,100,0.26
114,Yekepa,LR,2022-01-08 22:13:23,7.5753,-8.5419,25.14,37,65,1.1
115,Karratha,AU,2022-01-08 22:13:23,-20.7377,116.8463,27.4,80,44,5.25
116,Iskateley,RU,2022-01-08 22:13:24,67.6803,53.1512,-14.53,95,100,4.38
117,Nabire,ID,2022-01-08 22:13:24,-3.3667,135.4833,24.19,90,94,1.32
118,Lompoc,US,2022-01-08 22:13:24,34.6391,-120.4579,20.38,61,0,3.6
119,Kysyl-Syr,RU,2022-01-08 22:13:25,63.8986,122.7617,-32.74,98,94,2.15
120,Banyo,CM,2022-01-08 22:13:25,6.75,11.8167,22.13,33,88,1.98
121,Valparaiso,CL,2022-01-08 22:13:26,-33.0393,-71.6273,19.8,75,40,3.09
122,Kulachi,PK,2022-01-08 22:13:26,31.9286,70.4592,12.26,68,97,3.72
123,Chokurdakh,RU,2022-01-08 22:09:13,70.6333,147.9167,-25.94,99,100,3.68
124,Mazagao,BR,2022-01-08 22:13:26,-0.115,-51.2894,25.03,94,100,1.42
125,Gumdag,TM,2022-01-08 22:13:27,39.2061,54.5906,8.53,78,100,2.62
126,Saint George,US,2022-01-08 22:12:28,37.1041,-113.5841,16.08,34,0,1.79
127,Avarua,CK,2022-01-08 22:13:27,-21.2078,-159.775,28.03,83,100,4.63
128,Touros,BR,2022-01-08 22:13:28,-5.1989,-35.4608,27.5,76,100,4.76
129,Thompson,CA,2022-01-08 22:13:28,55.7435,-97.8558,-20.52,96,100,4.49
130,Batasan,PH,2022-01-08 22:13:28,12.7667,120.7833,25.01,77,5,1.74
131,Fortuna,US,2022-01-08 22:12:14,40.5982,-124.1573,13.25,79,0,1.34
132,Brae,GB,2022-01-08 22:13:29,60.3964,-1.353,5.95,87,100,4.21
133,Ancud,CL,2022-01-08 22:13:29,-41.8697,-73.8203,18.74,77,31,4.23
134,San Rafael,AR,2022-01-08 22:13:29,-34.6177,-68.3301,35.52,15,1,8.6
135,Besikduzu,TR,2022-01-08 22:14:30,41.052,39.2284,7.94,60,53,3.57
136,Laguna,US,2022-01-08 22:14:30,38.421,-121.4238,16.78,72,20,1.34
137,Yellowknife,CA,2022-01-08 22:14:00,62.456,-114.3525,-23.85,92,100,6.34
138,Luanda,AO,2022-01-08 22:14:31,-8.8368,13.2343,25.08,85,100,4.39
139,Tulle,FR,2022-01-08 22:14:31,45.3333,1.8333,6.86,86,100,5.35
140,Lufilufi,WS,2022-01-08 22:14:32,-13.8745,-171.5986,29.88,70,98,1.62
141,Saint-Joseph,RE,2022-01-08 22:14:32,-21.3667,55.6167,23.21,86,20,2.03
142,El Alto,PE,2022-01-08 22:14:33,-4.2714,-81.2147,24.81,72,97,5.6
143,Gat,IL,2022-01-08 22:11:05,31.61,34.7642,18.55,42,88,2.38
144,Meulaboh,ID,2022-01-08 22:14:33,4.1363,96.1285,24.23,88,100,1.88
145,Saint-Leu,RE,2022-01-08 22:14:33,-21.15,55.2833,23.48,84,10,1.21
146,Kimbe,PG,2022-01-08 22:14:34,-5.5502,150.1429,24.89,93,100,0.9
147,Tessalit,ML,2022-01-08 22:14:34,20.1986,1.0114,13.72,21,41,3.55
148,Pevek,RU,2022-01-08 22:14:34,69.7008,170.3133,-19.37,93,100,0.86
149,Klaksvik,FO,2022-01-08 22:14:35,62.2266,-6.589,3.51,84,95,6.4
150,Hasaki,JP,2022-01-08 22:14:35,35.7333,140.8333,-3.78,62,0,5.29
151,Saint-Francois,FR,2022-01-08 22:14:35,46.4154,3.9054,8.69,75,100,6.69
152,Victoria,HK,2022-01-08 22:11:47,22.2855,114.1577,17.99,85,63,0.89
153,Bandarban,BD,2022-01-08 22:14:36,22.1965,92.2262,14.78,77,77,1.04
154,Batemans Bay,AU,2022-01-08 22:14:37,-35.7167,150.1833,24.0,76,55,1.12
